日期,代码,简称,价格,RSI,信号,理由,is_signal,偏离度%,人气值
2026-01-15,512690,酒ETF,0.54,37.6,建议买入,情绪冰点,True,-1.42,1.06
2026-01-15,510500,中证500ETF,8.339,77.1,建议卖出,情绪过热,False,7.44,2.32
2026-01-15,512100,中证1000ETF,3.345,74.1,建议卖出,情绪过热,False,6.48,2.02
2026-01-15,512480,半导体ETF,1.649,70.4,建议卖出,情绪过热,False,8.68,1.13
