date,fund_code,名称,评分,持续天数,风险预警,回撤%,RSI,BIAS,price
2025-12-25,512690,未知品种,1,16,正常,-15.8,30.0,-0.36,0.549
2025-12-25,513180,未知品种,1,9,🚩高风险(陷阱),-16.32,56.25,0.23,0.733
2025-12-25,520830,未知品种,1,103,🚩高风险(陷阱),-30.79,59.09,0.06,0.906
2025-12-25,159992,未知品种,1,9,🚩高风险(陷阱),-15.66,60.87,-0.04,0.851
