date,fund_code,名称,评分,风险预警,回撤%,RSI6,BIAS20,price,ma5_trend,persist_days
2025-12-30,512720,计算机ETF,1,🚩假摔陷阱,-13.46,84.62,1.53,1.189,UP,33
2025-12-30,515750,科技50ETF,1,🚩假摔陷阱,-10.26,84.21,1.59,1.81,UP,33
2025-12-30,515710,食品饮料ETF华宝,1,正常,-10.94,21.74,-1.17,0.586,DOWN,2
2025-12-30,512980,传媒ETF,1,🚩假摔陷阱,-10.33,78.26,1.48,0.972,UP,20
2025-12-30,512600,消费ETF嘉实,1,正常,-10.19,14.29,-0.6,0.679,DOWN,2
2025-12-30,515170,食品饮料ETF,1,正常,-11.15,25.0,-1.19,0.55,DOWN,2
2025-12-30,512170,医疗ETF,1,正常,-14.93,33.33,-0.49,0.342,DOWN,32
2025-12-30,515400,大数据ETF,1,🚩假摔陷阱,-15.47,83.87,1.44,0.929,UP,38
2025-12-30,512690,酒ETF,3,正常,-17.02,25.0,-2.18,0.541,DOWN,255
2025-12-30,515220,煤炭ETF,3,正常,-14.32,25.0,-1.83,1.035,DOWN,17
2025-12-30,515120,创新药ETF,3,正常,-17.15,11.76,-2.16,0.628,DOWN,32
2025-12-30,515250,智能汽车ETF,1,🚩假摔陷阱,-10.35,73.68,4.17,1.161,UP,41
2025-12-30,515230,软件ETF,1,🚩假摔陷阱,-15.49,76.92,2.14,0.884,UP,38
2025-12-30,515790,光伏ETF,1,🚩假摔陷阱,-10.17,72.41,1.77,0.972,UP,1
2025-12-30,515060,房地产ETF基金,1,正常,-10.42,42.86,-0.58,0.705,DOWN,1
2025-12-30,512290,生物医药ETF,3,正常,-17.46,25.81,-1.41,1.007,DOWN,42
2025-12-30,512880,证券ETF,1,🚩假摔陷阱,-10.06,56.41,0.98,1.216,UP,1
2025-12-30,512200,房地产ETF,1,正常,-10.63,43.08,-0.48,1.479,DOWN,1
2025-12-30,512010,医药ETF,3,正常,-16.45,28.57,-1.4,0.381,DOWN,33
2025-12-30,515950,医药龙头ETF,3,正常,-15.16,27.59,-1.12,0.929,DOWN,32
