date,fund_code,price,回撤%,RSI,BIAS,评分,风险预警,建议
2025-12-24,512690,0.548,-9.72,18.18,-0.66,3,✅高胜率区,可分批建仓
2025-12-24,513180,0.733,-9.51,64.1,0.32,1,🚩高风险(陷阱),等待3分
