date,fund_code,名称,评分,风险预警,回撤%,RSI6,BIAS20,price,ma5_trend,persist_days
2025-12-29,512720,计算机ETF,1,🚩假摔陷阱,-13.61,86.36,1.33,1.187,UP,32
2025-12-29,515710,食品饮料ETF华宝,1,正常,-10.33,30.0,-0.69,0.59,DOWN,1
2025-12-29,512980,传媒ETF,1,🚩假摔陷阱,-10.89,66.67,0.8,0.966,UP,19
2025-12-29,515170,食品饮料ETF,1,正常,-10.34,31.58,-0.49,0.555,DOWN,1
2025-12-29,512170,医疗ETF,1,正常,-14.18,35.71,0.36,0.345,DOWN,31
2025-12-29,515400,大数据ETF,1,🚩假摔陷阱,-15.47,87.18,1.35,0.929,UP,37
2025-12-29,512690,酒ETF,1,正常,-16.41,28.57,-1.79,0.545,DOWN,254
2025-12-29,515220,煤炭ETF,1,正常,-13.66,31.82,-1.37,1.043,DOWN,16
2025-12-29,515120,创新药ETF,3,正常,-16.36,16.67,-1.39,0.634,DOWN,31
2025-12-29,515250,智能汽车ETF,1,🚩假摔陷阱,-11.27,78.33,3.35,1.149,UP,40
2025-12-29,515230,软件ETF,1,🚩假摔陷阱,-16.16,74.29,1.38,0.877,UP,37
2025-12-29,512290,生物医药ETF,1,正常,-16.48,36.36,-0.33,1.019,DOWN,41
2025-12-29,512010,医药ETF,1,正常,-15.57,36.36,-0.48,0.385,DOWN,32
2025-12-29,515950,医药龙头ETF,1,正常,-14.61,29.63,-0.57,0.935,DOWN,31
