date,fund_code,price,回撤%,RSI,BIAS,评分,风险预警,建议
2025-12-25,588000,1.416,-12.48,63.51,1.02,1,🚩高风险(陷阱),等待3分
2025-12-25,512690,0.549,-15.8,30.0,-0.36,1,正常,等待3分
2025-12-25,513180,0.733,-16.32,56.25,0.23,1,🚩高风险(陷阱),等待3分
2025-12-25,520830,0.906,-30.79,59.09,0.06,1,🚩高风险(陷阱),等待3分
2025-12-25,159992,0.851,-15.66,60.87,-0.04,1,🚩高风险(陷阱),等待3分
2025-12-25,159857,0.816,-11.11,65.22,1.45,1,🚩高风险(陷阱),等待3分
