日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2024-11-01,4.698,4.681,4.708,4.681,34213,18687948.0,0.58,0.02,0.001,2.73
2024-11-04,4.678,4.698,4.699,4.641,7348,4009453.0,1.24,0.36,0.017,0.59
2024-11-05,4.701,4.769,4.769,4.68,6859,3773491.0,1.89,1.51,0.071,0.55
2024-11-06,4.729,4.787,4.805,4.693,5668,3143775.0,2.35,0.38,0.018,0.45
2024-11-07,4.8,4.798,4.8,4.747,2392,1328806.0,1.11,0.23,0.011,0.19
2024-11-08,4.808,4.787,4.808,4.76,1634,907338.0,1.0,-0.23,-0.011,0.13
2024-11-11,4.789,4.774,4.789,4.723,32305,17855471.0,1.38,-0.27,-0.013,2.57
2024-11-12,4.773,4.841,4.843,4.735,12024,6724549.0,2.26,1.4,0.067,0.96
2024-11-13,4.948,4.888,4.948,4.801,3225,1820965.0,3.04,0.97,0.047,0.26
2024-11-14,5.002,4.923,5.002,4.88,9401,5336027.0,2.5,0.72,0.035,0.75
2024-11-15,4.924,4.954,4.978,4.888,11224,6397548.0,1.83,0.63,0.031,0.89
2024-11-18,4.954,4.972,4.978,4.954,2753,1579746.0,0.48,0.36,0.018,0.22
2024-11-19,5.078,4.941,5.078,4.916,11471,6560702.0,3.26,-0.62,-0.031,0.91
2024-11-20,4.94,4.927,4.974,4.924,8297,4744177.0,1.01,-0.28,-0.014,0.66
2024-11-21,4.908,4.948,5.028,4.887,575,328028.0,2.86,0.43,0.021,0.05
2024-11-22,5.063,4.949,5.063,4.928,4368,2500711.0,2.73,0.02,0.001,0.35
2024-11-25,4.909,4.923,4.963,4.909,488,278231.0,1.09,-0.53,-0.026,0.04
2024-11-26,4.884,4.923,4.978,4.884,1351,768454.0,1.91,0.0,0.0,0.11
2024-11-27,4.903,4.931,4.978,4.903,953,542780.0,1.52,0.16,0.008,0.08
2024-11-28,4.898,4.934,4.968,4.898,133,75914.0,1.42,0.06,0.003,0.01
2024-11-29,4.931,4.944,4.964,4.93,964,550467.0,0.69,0.2,0.01,0.08
2024-12-02,4.928,4.851,4.928,4.83,13483,7600500.0,1.98,-1.88,-0.093,1.07
2024-12-03,4.828,4.852,4.886,4.825,60767,34034872.0,1.26,0.02,0.001,4.84
2024-12-04,4.828,4.878,4.883,4.826,5415,3045392.0,1.17,0.54,0.026,0.43
