日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-03-31,3.465,3.465,3.465,3.465,67851,24026021.0,0.0,30.85,0.817,4.52
2025-04-01,3.674,3.506,3.816,3.287,353816,126932812.0,15.27,1.18,0.041,23.59
2025-04-02,3.508,3.556,3.572,3.49,68614,24807423.0,2.34,1.43,0.05,4.57
2025-04-03,3.572,3.66,3.673,3.571,172804,64064821.0,2.87,2.92,0.104,11.52
2025-04-07,3.697,3.742,3.816,3.649,101449,38413760.0,4.56,2.24,0.082,6.76
2025-04-08,3.741,3.706,3.741,3.652,35334,13318764.0,2.38,-0.96,-0.036,2.36
2025-04-09,3.685,3.643,3.706,3.64,28734,10741113.0,1.78,-1.7,-0.063,1.92
2025-04-10,3.64,3.664,3.674,3.557,31352,11606614.0,3.21,0.58,0.021,2.09
2025-04-11,3.663,3.657,3.704,3.62,32406,12167081.0,2.29,-0.19,-0.007,2.16
2025-04-14,3.654,3.675,3.681,3.618,20116,7514836.0,1.72,0.49,0.018,1.34
2025-04-15,3.679,3.685,3.697,3.675,21247,7990381.0,0.6,0.27,0.01,1.42
2025-04-16,3.683,3.694,3.697,3.68,19097,7187159.0,0.46,0.24,0.009,1.27
2025-04-17,3.685,3.736,3.743,3.685,18073,6874431.0,1.57,1.14,0.042,1.2
2025-04-18,3.739,3.731,3.776,3.707,20910,7974881.0,1.85,-0.13,-0.005,1.39
2025-04-21,3.731,3.728,3.754,3.691,16678,6315073.0,1.69,-0.08,-0.003,1.11
2025-04-22,3.729,3.748,3.754,3.698,15829,6021450.0,1.5,0.54,0.02,1.06
2025-04-23,3.749,3.744,3.759,3.726,16546,6327929.0,0.88,-0.11,-0.004,1.1
2025-04-24,3.744,3.756,3.76,3.73,18622,7113913.0,0.8,0.32,0.012,1.24
2025-04-25,3.757,3.759,3.774,3.752,6674,2559203.0,0.59,0.08,0.003,0.44
2025-04-28,3.759,3.704,3.764,3.702,8750,3325134.0,1.65,-1.46,-0.055,0.58
2025-04-29,3.7,3.72,3.722,3.687,7288,2762600.0,0.94,0.43,0.016,0.49
2025-04-30,3.704,3.733,3.757,3.704,16818,6413482.0,1.42,0.35,0.013,1.12
2025-05-06,3.718,3.755,3.764,3.718,22213,8479843.0,1.23,0.59,0.022,1.48
2025-05-07,3.756,3.768,3.774,3.734,18336,7037490.0,1.07,0.35,0.013,1.22
2025-05-08,3.753,3.792,3.8,3.753,19794,7645732.0,1.25,0.64,0.024,1.32
2025-05-09,3.777,3.834,3.843,3.777,16262,6323750.0,1.74,1.11,0.042,1.08
2025-05-12,3.833,3.845,3.872,3.818,9856,3867654.0,1.41,0.29,0.011,0.66
2025-05-13,3.835,3.861,3.865,3.813,17198,6735655.0,1.35,0.42,0.016,1.15
2025-05-14,3.845,3.895,3.93,3.845,10344,4116497.0,2.2,0.88,0.034,0.69
2025-05-15,3.895,3.935,3.936,3.889,12361,4933351.0,1.21,1.03,0.04,0.82
2025-05-16,3.935,3.967,3.994,3.925,10813,4372821.0,1.75,0.81,0.032,0.72
2025-05-19,3.983,3.965,4.001,3.952,12381,5019154.0,1.24,-0.05,-0.002,0.83
2025-05-20,3.978,3.972,3.979,3.945,16384,6614171.0,0.86,0.18,0.007,1.09
2025-05-21,3.979,3.955,3.982,3.924,13061,5261308.0,1.46,-0.43,-0.017,0.87
2025-05-22,3.954,3.934,3.964,3.926,17092,6874571.0,0.96,-0.53,-0.021,1.14
2025-05-23,3.937,3.914,3.954,3.907,15383,6164152.0,1.19,-0.51,-0.02,1.03
2025-05-26,3.914,3.967,3.973,3.895,12773,5136559.0,1.99,1.35,0.053,0.85
2025-05-27,3.971,3.949,3.993,3.938,11062,4462108.0,1.39,-0.45,-0.018,0.74
2025-05-28,3.95,3.951,3.964,3.938,4775,1921519.0,0.66,0.05,0.002,0.32
2025-05-29,3.954,3.954,3.963,3.946,6129,2470757.0,0.43,0.08,0.003,0.41
2025-05-30,3.954,3.961,3.966,3.953,7869,3175176.0,0.33,0.18,0.007,0.52
2025-06-03,3.962,3.963,3.969,3.956,3377,1363722.0,0.33,0.05,0.002,0.23
2025-06-04,3.965,3.955,3.965,3.948,2663,1074841.0,0.43,-0.2,-0.008,0.18
2025-06-05,3.955,3.952,3.959,3.944,4763,1918650.0,0.38,-0.08,-0.003,0.32
2025-06-06,3.962,3.95,3.962,3.935,4977,2002748.0,0.68,-0.05,-0.002,0.33
2025-06-09,3.951,3.914,3.958,3.909,8577,3428857.0,1.24,-0.91,-0.036,0.57
2025-06-10,3.913,3.912,3.923,3.899,9723,3874500.0,0.61,-0.05,-0.002,0.65
2025-06-11,3.91,3.915,3.919,3.909,16084,6414981.0,0.26,0.08,0.003,1.07
2025-06-12,3.916,3.915,3.922,3.898,3619,1441731.0,0.61,0.0,0.0,0.24
2025-06-13,3.906,3.936,3.94,3.894,18770,7502815.0,1.17,0.54,0.021,1.25
2025-06-16,3.939,3.935,3.944,3.919,11006,4410962.0,0.64,-0.03,-0.001,0.73
2025-06-17,3.935,3.984,3.999,3.935,17967,7262771.0,1.63,1.25,0.049,1.2
2025-06-18,3.984,4.078,4.092,3.98,12309,5086368.0,2.81,2.36,0.094,0.82
2025-06-19,4.079,4.068,4.095,3.979,13710,5660963.0,2.84,-0.25,-0.01,0.91
2025-06-20,4.068,4.104,4.122,4.039,15489,6433007.0,2.04,0.88,0.036,1.03
2025-06-23,4.104,4.193,4.201,4.087,13696,5793789.0,2.78,2.17,0.089,0.91
2025-06-24,4.193,4.147,4.193,4.074,20020,8408642.0,2.84,-1.1,-0.046,1.33
2025-06-25,4.146,4.113,4.146,4.073,9998,4193854.0,1.76,-0.82,-0.034,0.67
2025-06-26,4.109,4.063,4.126,4.05,7395,3075212.0,1.85,-1.22,-0.05,0.49
2025-06-27,4.063,4.054,4.073,3.994,54672,22399619.0,1.94,-0.22,-0.009,3.65
2025-06-30,4.037,4.04,4.054,3.984,21598,8828530.0,1.73,-0.35,-0.014,1.44
2025-07-01,4.023,4.018,4.045,4.004,6340,2592633.0,1.01,-0.54,-0.022,0.42
2025-07-02,4.019,4.104,4.123,4.018,16786,6984221.0,2.61,2.14,0.086,1.12
2025-07-03,4.104,4.102,4.139,4.082,7977,3331829.0,1.39,-0.05,-0.002,0.53
2025-07-04,4.111,4.092,4.111,4.074,6598,2745171.0,0.9,-0.24,-0.01,0.44
2025-07-07,4.084,4.079,4.102,4.064,3780,1569676.0,0.93,-0.32,-0.013,0.25
2025-07-08,4.079,4.029,4.079,4.029,6006,2469854.0,1.23,-1.23,-0.05,0.4
2025-07-09,4.029,3.999,4.035,3.986,11159,4545834.0,1.22,-0.74,-0.03,0.74
2025-07-10,3.999,4.007,4.016,3.988,6089,2484344.0,0.7,0.2,0.008,0.41
2025-07-11,3.992,3.987,4.014,3.964,10748,4356945.0,1.25,-0.5,-0.02,0.72
2025-07-14,3.989,3.985,3.999,3.971,3441,1397997.0,0.7,-0.05,-0.002,0.23
2025-07-15,3.985,4.042,4.043,3.985,8413,3441780.0,1.46,1.43,0.057,0.56
2025-07-16,4.04,4.051,4.054,4.01,10517,4320749.0,1.09,0.22,0.009,0.7
2025-07-17,4.05,4.057,4.063,4.025,8438,3483977.0,0.94,0.15,0.006,0.56
2025-07-18,4.057,4.04,4.057,4.0,9656,3958803.0,1.4,-0.42,-0.017,0.64
2025-07-21,4.021,3.985,4.036,3.974,8571,3484084.0,1.53,-1.36,-0.055,0.57
2025-07-22,3.985,3.905,3.985,3.897,17037,6806423.0,2.21,-2.01,-0.08,1.14
2025-07-23,3.915,3.899,3.921,3.824,17673,6972582.0,2.48,-0.15,-0.006,1.18
2025-07-24,3.883,3.862,3.898,3.854,6261,2469220.0,1.13,-0.95,-0.037,0.42
2025-07-25,3.854,3.833,3.855,3.829,6796,2658547.0,0.67,-0.75,-0.029,0.45
2025-07-28,3.835,3.858,3.865,3.835,5979,2352477.0,0.78,0.65,0.025,0.4
2025-07-29,3.865,3.822,3.871,3.818,5834,2285798.0,1.37,-0.93,-0.036,0.39
2025-07-30,3.823,3.823,3.835,3.818,11473,4472661.0,0.44,0.03,0.001,0.76
2025-07-31,3.819,3.924,3.928,3.819,17660,7023162.0,2.85,2.64,0.101,1.18
2025-08-01,3.935,3.973,4.002,3.877,19471,7832330.0,3.19,1.25,0.049,1.3
2025-08-04,3.973,3.914,4.013,3.908,7066,2842625.0,2.64,-1.49,-0.059,0.47
2025-08-05,3.898,3.905,3.914,3.869,3663,1454166.0,1.15,-0.23,-0.009,0.24
2025-08-06,3.905,3.895,3.921,3.888,3366,1338568.0,0.85,-0.26,-0.01,0.22
2025-08-07,3.911,3.887,3.919,3.885,3547,1410298.0,0.87,-0.21,-0.008,0.24
2025-08-08,3.871,3.891,3.896,3.859,1616,639547.0,0.95,0.1,0.004,0.11
2025-08-11,3.875,3.865,3.902,3.862,2148,847825.0,1.03,-0.67,-0.026,0.14
2025-08-12,3.867,3.855,3.889,3.851,5138,2021606.0,0.98,-0.26,-0.01,0.34
2025-08-13,3.864,3.847,3.864,3.834,5057,1979643.0,0.78,-0.21,-0.008,0.34
2025-08-14,3.847,3.824,3.847,3.817,6655,2596563.0,0.78,-0.6,-0.023,0.44
2025-08-15,3.836,3.8,3.836,3.794,4257,1656502.0,1.1,-0.63,-0.024,0.28
2025-08-18,3.801,3.67,3.801,3.669,12580,4736252.0,3.47,-3.42,-0.13,0.84
2025-08-19,3.67,3.566,3.675,3.527,39486,14399648.0,4.03,-2.83,-0.104,2.63
2025-08-20,3.566,3.56,3.635,3.55,8421,3085926.0,2.38,-0.17,-0.006,0.56
2025-08-21,3.564,3.574,3.601,3.526,21806,7921163.0,2.11,0.39,0.014,1.45
2025-08-22,3.574,3.581,3.588,3.554,8020,2926363.0,0.95,0.2,0.007,0.53
2025-08-25,3.581,3.643,3.664,3.552,12693,4654565.0,3.13,1.73,0.062,0.85
2025-08-26,3.649,3.776,3.782,3.639,18684,7110287.0,3.93,3.65,0.133,1.25
2025-08-27,3.789,3.764,3.789,3.68,9399,3588732.0,2.89,-0.32,-0.012,0.63
2025-08-28,3.744,3.725,3.768,3.704,7278,2763083.0,1.7,-1.04,-0.039,0.49
2025-08-29,3.702,3.709,3.719,3.695,2751,1039949.0,0.64,-0.43,-0.016,0.18
2025-09-01,3.702,3.676,3.702,3.672,4526,1699175.0,0.81,-0.89,-0.033,0.3
2025-09-02,3.674,3.726,3.773,3.658,8003,3051535.0,3.13,1.36,0.05,0.53
2025-09-03,3.724,3.736,3.754,3.693,3725,1413082.0,1.64,0.27,0.01,0.25
2025-09-04,3.724,3.797,3.903,3.699,38400,14910483.0,5.46,1.63,0.061,2.56
2025-09-05,3.788,3.699,3.788,3.674,16523,6301794.0,3.0,-2.58,-0.098,1.1
2025-09-08,3.701,3.674,3.714,3.662,4785,1793806.0,1.41,-0.68,-0.025,0.32
2025-09-09,3.684,3.684,3.694,3.674,2587,973016.0,0.54,0.27,0.01,0.17
2025-09-10,3.684,3.695,3.7,3.684,5209,1963188.0,0.43,0.3,0.011,0.35
2025-09-11,3.695,3.677,3.71,3.656,2768,1039817.0,1.46,-0.49,-0.018,0.18
2025-09-12,3.664,3.664,3.677,3.654,5653,2111615.0,0.63,-0.35,-0.013,0.38
2025-09-15,3.662,3.658,3.676,3.649,1749,654238.0,0.74,-0.16,-0.006,0.12
2025-09-16,3.656,3.653,3.666,3.646,12591,4701140.0,0.55,-0.14,-0.005,0.84
2025-09-17,3.654,3.65,3.663,3.642,6130,2283969.0,0.57,-0.08,-0.003,0.41
2025-09-18,3.644,3.644,3.655,3.639,3120,1160373.0,0.44,-0.16,-0.006,0.21
2025-09-19,3.646,3.644,3.654,3.628,3753,1395327.0,0.71,0.0,0.0,0.25
2025-09-22,3.628,3.622,3.653,3.62,2333,863798.0,0.91,-0.6,-0.022,0.16
2025-09-23,3.62,3.601,3.62,3.596,4412,1624295.0,0.66,-0.58,-0.021,0.29
2025-09-24,3.595,3.59,3.595,3.574,3219,1178352.0,0.58,-0.31,-0.011,0.21
2025-09-25,3.584,3.588,3.627,3.583,2365,867589.0,1.23,-0.06,-0.002,0.16
2025-09-26,3.588,3.57,3.588,3.569,3093,1129508.0,0.53,-0.5,-0.018,0.21
2025-09-29,3.563,3.548,3.572,3.547,2420,878814.0,0.7,-0.62,-0.022,0.16
2025-09-30,3.554,3.541,3.578,3.541,3267,1183456.0,1.04,-0.2,-0.007,0.22
2025-10-09,3.541,3.523,3.553,3.523,3788,1366069.0,0.85,-0.51,-0.018,0.25
2025-10-10,3.524,3.526,3.541,3.516,2701,974768.0,0.71,0.09,0.003,0.18
2025-10-13,3.535,3.548,3.573,3.535,4262,1546335.0,1.08,0.62,0.022,0.28
2025-10-14,3.559,3.558,3.566,3.517,4821,1738902.0,1.38,0.28,0.01,0.32
2025-10-15,3.557,3.532,3.557,3.525,8651,3121059.0,0.9,-0.73,-0.026,0.58
2025-10-16,3.517,3.529,3.532,3.504,6804,2447034.0,0.79,-0.08,-0.003,0.45
2025-10-17,3.52,3.516,3.523,3.482,11185,4009544.0,1.16,-0.37,-0.013,0.75
2025-10-20,3.516,3.457,3.521,3.397,16846,5941229.0,3.53,-1.68,-0.059,1.12
2025-10-21,3.441,3.42,3.454,3.409,11479,4012034.0,1.3,-1.07,-0.037,0.77
2025-10-22,3.404,3.437,3.449,3.404,6366,2234389.0,1.32,0.5,0.017,0.42
2025-10-23,3.437,3.433,3.449,3.417,5481,1917685.0,0.93,-0.12,-0.004,0.37
2025-10-24,3.433,3.484,3.494,3.412,14147,5012129.0,2.39,1.49,0.051,0.94
2025-10-27,3.468,3.459,3.499,3.434,8726,3079048.0,1.87,-0.72,-0.025,0.58
2025-10-28,3.461,3.517,3.521,3.445,12274,4384768.0,2.2,1.68,0.058,0.82
2025-10-29,3.521,3.524,3.57,3.496,18141,6564520.0,2.1,0.2,0.007,1.21
2025-10-30,3.536,3.529,3.55,3.482,8980,3228856.0,1.93,0.14,0.005,0.6
2025-10-31,3.528,3.506,3.552,3.474,36138,12950510.0,2.21,-0.65,-0.023,2.41
2025-11-03,3.503,3.504,3.529,3.485,10035,3593021.0,1.25,-0.06,-0.002,0.67
2025-11-04,3.504,3.483,3.504,3.437,41190,14584202.0,1.91,-0.6,-0.021,2.75
2025-11-05,3.483,3.518,3.524,3.443,15501,5547775.0,2.33,1.0,0.035,1.03
2025-11-06,3.518,3.516,3.53,3.488,9272,3325654.0,1.19,-0.06,-0.002,0.62
2025-11-07,3.527,3.571,3.573,3.517,18087,6567066.0,1.59,1.56,0.055,1.21
2025-11-10,3.571,3.602,3.604,3.555,11160,4089548.0,1.37,0.87,0.031,0.74
2025-11-11,3.613,3.631,3.631,3.589,9568,3529951.0,1.17,0.81,0.029,0.64
2025-11-12,3.631,3.632,3.636,3.597,11425,4231094.0,1.07,0.03,0.001,0.76
2025-11-13,3.632,3.63,3.634,3.584,8565,3158377.0,1.38,-0.06,-0.002,0.57
2025-11-14,3.608,3.652,3.652,3.601,7096,2638061.0,1.4,0.61,0.022,0.47
2025-11-17,3.651,3.643,3.669,3.618,4085,1523550.0,1.4,-0.25,-0.009,0.27
2025-11-18,3.645,3.62,3.645,3.585,4383,1615649.0,1.65,-0.63,-0.023,0.29
2025-11-19,3.603,3.609,3.627,3.581,7616,2799759.0,1.27,-0.3,-0.011,0.51
2025-11-20,3.611,3.594,3.621,3.576,3869,1422911.0,1.25,-0.42,-0.015,0.26
2025-11-21,3.605,3.591,3.605,3.538,23406,8500947.0,1.86,-0.08,-0.003,1.56
2025-11-24,3.574,3.578,3.592,3.567,3908,1427978.0,0.7,-0.36,-0.013,0.26
2025-11-25,3.6,3.608,3.609,3.564,6152,2250498.0,1.26,0.84,0.03,0.41
2025-11-26,3.591,3.62,3.626,3.586,7464,2753867.0,1.11,0.33,0.012,0.5
2025-11-27,3.604,3.588,3.62,3.576,21301,7805085.0,1.22,-0.88,-0.032,1.42
2025-11-28,3.579,3.579,3.59,3.54,3880,1408770.0,1.39,-0.25,-0.009,0.26
2025-12-01,3.563,3.576,3.578,3.54,1650,599197.0,1.06,-0.08,-0.003,0.11
2025-12-02,3.576,3.559,3.576,3.551,667,242586.0,0.7,-0.48,-0.017,0.04
2025-12-03,3.544,3.57,3.595,3.524,2035,740257.0,1.99,0.31,0.011,0.14
2025-12-04,3.565,3.525,3.565,3.523,3535,1274880.0,1.18,-1.26,-0.045,0.24
2025-12-05,3.525,3.513,3.539,3.507,4149,1490993.0,0.91,-0.34,-0.012,0.28
2025-12-08,3.509,3.484,3.512,3.476,4701,1675875.0,1.02,-0.83,-0.029,0.31
2025-12-09,3.499,3.439,3.499,3.415,10655,3746077.0,2.41,-1.29,-0.045,0.71
2025-12-10,3.424,3.484,3.486,3.415,7442,2635921.0,2.06,1.31,0.045,0.5
2025-12-11,3.484,3.484,3.485,3.442,5100,1804157.0,1.23,0.0,0.0,0.34
2025-12-12,3.491,3.478,3.492,3.463,2249,800121.0,0.83,-0.17,-0.006,0.15
2025-12-15,3.474,3.454,3.474,3.431,4731,1665695.0,1.24,-0.69,-0.024,0.32
2025-12-16,3.452,3.433,3.452,3.415,3595,1260823.0,1.07,-0.61,-0.021,0.24
2025-12-17,3.434,3.447,3.457,3.434,13097,4608186.0,0.67,0.41,0.014,0.87
2025-12-18,3.432,3.468,3.47,3.426,10947,3866587.0,1.28,0.61,0.021,0.73
2025-12-19,3.466,3.463,3.483,3.435,4769,1683277.0,1.38,-0.14,-0.005,0.32
2025-12-22,3.463,3.469,3.521,3.448,3202,1113190.0,2.11,0.17,0.006,0.21
2025-12-23,3.472,3.458,3.505,3.431,3326,1153619.0,2.13,-0.32,-0.011,0.22
2025-12-24,3.458,3.556,3.565,3.447,9550,3341231.0,3.41,2.83,0.098,0.64
2025-12-25,3.559,3.576,3.603,3.53,5880,2105202.0,2.05,0.56,0.02,0.39
2025-12-26,3.578,3.58,3.585,3.542,5291,1881513.0,1.2,0.11,0.004,0.35
2025-12-29,3.564,3.54,3.58,3.532,1971,699249.0,1.34,-1.12,-0.04,0.13
