日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2022-11-22,8.351,8.011,8.351,7.658,143180,147672881.0,8.15,-5.76,-0.49,1.79
2022-11-23,7.821,7.764,7.836,7.671,39483,40034438.0,2.06,-3.08,-0.247,0.49
2022-11-24,7.741,7.836,7.92,7.711,26009,26596405.0,2.69,0.93,0.072,0.33
2022-11-25,7.834,7.868,7.9,7.821,20848,21360485.0,1.01,0.41,0.032,0.26
2022-11-28,7.871,7.86,7.886,7.793,26960,27550686.0,1.18,-0.1,-0.008,0.34
2022-11-29,7.851,7.849,7.878,7.822,15965,16350625.0,0.71,-0.14,-0.011,0.2
2022-11-30,7.848,7.849,7.857,7.831,15462,15815887.0,0.33,0.0,0.0,0.19
2022-12-01,7.847,7.862,7.866,7.832,28726,29406774.0,0.43,0.17,0.013,0.36
2022-12-02,7.911,7.879,7.911,7.871,13295,13638517.0,0.51,0.22,0.017,0.17
2022-12-05,7.88,8.026,8.03,7.88,16295,16897229.0,1.9,1.87,0.147,0.2
2022-12-06,8.028,8.221,8.228,8.027,34275,36102851.0,2.5,2.43,0.195,0.43
2022-12-07,8.226,8.181,8.266,8.168,18589,19657417.0,1.19,-0.49,-0.04,0.23
2022-12-08,8.181,8.216,8.224,8.179,12740,13484931.0,0.55,0.43,0.035,0.16
2022-12-09,8.217,8.223,8.236,8.211,13791,14630341.0,0.3,0.09,0.007,0.17
2022-12-12,8.231,8.225,8.24,8.221,17189,18239424.0,0.23,0.02,0.002,0.21
2022-12-13,8.225,8.053,8.225,8.051,23449,24600373.0,2.12,-2.09,-0.172,0.29
2022-12-14,8.011,8.012,8.018,7.952,14228,14771635.0,0.82,-0.51,-0.041,0.18
2022-12-15,8.013,8.009,8.042,8.001,15855,16496995.0,0.51,-0.04,-0.003,0.2
2022-12-16,8.013,7.996,8.097,7.991,17014,17673846.0,1.32,-0.16,-0.013,0.21
2022-12-19,8.013,7.985,8.013,7.971,12278,12726412.0,0.53,-0.14,-0.011,0.15
2022-12-20,8.013,7.907,8.013,7.882,9377,9654300.0,1.64,-0.98,-0.078,0.12
2022-12-21,7.94,7.885,7.94,7.883,12754,13103798.0,0.72,-0.28,-0.022,0.16
2022-12-22,7.915,7.899,7.915,7.883,11316,11627681.0,0.41,0.18,0.014,0.14
2022-12-23,7.935,7.917,7.935,7.881,20740,21331234.0,0.68,0.23,0.018,0.26
2022-12-26,7.945,7.943,7.951,7.93,6243,6444074.0,0.27,0.33,0.026,0.08
2022-12-27,7.943,7.969,7.97,7.881,9211,9511780.0,1.12,0.33,0.026,0.12
2022-12-28,7.97,7.986,8.021,7.952,4931,5105696.0,0.87,0.21,0.017,0.06
2022-12-29,7.991,8.017,8.017,7.953,6548,6793284.0,0.8,0.39,0.031,0.08
2022-12-30,8.018,8.12,8.121,7.994,5928,6189673.0,1.58,1.28,0.103,0.07
2023-01-03,8.12,8.107,8.121,8.103,8133,8531555.0,0.22,-0.16,-0.013,0.1
2023-01-04,8.107,8.089,8.107,7.946,14512,15194530.0,1.99,-0.22,-0.018,0.18
2023-01-05,7.978,8.089,8.091,7.978,13845,14486417.0,1.4,0.0,0.0,0.17
2023-01-06,8.089,8.137,8.138,8.026,17834,18714353.0,1.38,0.59,0.048,0.22
2023-01-09,8.137,8.121,8.137,8.039,9653,10137761.0,1.2,-0.2,-0.016,0.12
2023-01-10,8.121,8.136,8.146,8.057,13156,13812349.0,1.1,0.18,0.015,0.16
2023-01-11,8.136,8.11,8.136,8.089,13317,13961708.0,0.58,-0.32,-0.026,0.17
2023-01-12,8.109,8.111,8.112,8.062,8843,9269558.0,0.62,0.01,0.001,0.11
2023-01-13,8.111,8.082,8.111,8.077,6741,7056712.0,0.42,-0.36,-0.029,0.08
2023-01-16,8.085,8.057,8.091,8.054,9377,9801759.0,0.46,-0.31,-0.025,0.12
2023-01-17,8.043,7.999,8.054,7.971,12781,13296242.0,1.03,-0.72,-0.058,0.16
2023-01-18,8.001,8.002,8.03,7.96,10134,10516046.0,0.88,0.04,0.003,0.13
2023-01-19,8.002,7.981,8.002,7.972,11779,12203982.0,0.37,-0.26,-0.021,0.15
2023-01-20,7.981,7.988,8.003,7.981,11532,11955501.0,0.28,0.09,0.007,0.14
2023-01-30,7.988,8.029,8.039,7.988,12252,12739892.0,0.64,0.51,0.041,0.15
2023-01-31,8.029,8.126,8.159,8.029,20505,21462946.0,1.62,1.21,0.097,0.26
2023-02-01,8.126,8.087,8.136,8.087,15401,16147571.0,0.6,-0.48,-0.039,0.19
2023-02-02,8.086,8.051,8.086,8.028,18706,19506504.0,0.72,-0.45,-0.036,0.23
2023-02-03,8.051,8.069,8.116,8.032,20954,21892089.0,1.04,0.22,0.018,0.26
2023-02-06,8.069,8.108,8.11,8.049,21146,22121146.0,0.76,0.48,0.039,0.26
2023-02-07,8.11,8.102,8.121,8.088,22528,23615017.0,0.41,-0.07,-0.006,0.28
2023-02-08,8.102,8.1,8.112,8.079,16458,17248787.0,0.41,-0.02,-0.002,0.21
2023-02-09,8.1,8.099,8.108,8.061,23894,25037983.0,0.58,-0.01,-0.001,0.3
2023-02-10,8.1,8.094,8.108,8.089,32052,33583465.0,0.23,-0.06,-0.005,0.4
2023-02-13,8.094,8.086,8.108,8.074,14017,14671854.0,0.42,-0.1,-0.008,0.18
2023-02-14,8.08,8.07,8.088,8.066,21223,22210086.0,0.27,-0.2,-0.016,0.27
2023-02-15,8.068,8.071,8.077,8.061,17269,18044492.0,0.2,0.01,0.001,0.22
2023-02-16,8.071,8.077,8.085,8.061,30133,31505380.0,0.3,0.07,0.006,0.38
2023-02-17,8.077,8.104,8.117,8.07,25558,26790661.0,0.58,0.33,0.027,0.32
2023-02-20,8.104,8.128,8.139,8.073,22018,23111555.0,0.81,0.3,0.024,0.28
2023-02-21,8.127,8.149,8.171,8.082,37999,40020295.0,1.09,0.26,0.021,0.48
2023-02-22,8.161,8.147,8.161,8.121,15263,16055514.0,0.49,-0.02,-0.002,0.19
2023-02-23,8.146,8.135,8.161,8.127,26838,28262045.0,0.42,-0.15,-0.012,0.34
2023-02-24,8.128,8.094,8.141,8.088,8358,8783701.0,0.65,-0.5,-0.041,0.1
2023-02-27,8.089,8.073,8.098,8.071,29566,30927180.0,0.33,-0.26,-0.021,0.37
2023-02-28,8.088,8.075,8.088,8.073,36044,37693895.0,0.19,0.02,0.002,0.45
2023-03-01,8.088,8.08,8.101,8.069,33639,35164429.0,0.4,0.06,0.005,0.42
2023-03-02,8.08,8.071,8.085,8.036,18711,19555873.0,0.61,-0.11,-0.009,0.23
2023-03-03,8.071,8.071,8.089,8.071,12839,13420643.0,0.22,0.0,0.0,0.16
2023-03-06,8.071,8.072,8.077,8.064,5427,5672217.0,0.16,0.01,0.001,0.07
2023-03-07,8.071,8.077,8.082,8.041,10734,11221246.0,0.51,0.06,0.005,0.13
2023-03-08,8.077,8.079,8.084,8.051,4164,4354824.0,0.41,0.02,0.002,0.05
2023-03-09,8.079,8.074,8.082,8.072,18484,19328488.0,0.12,-0.06,-0.005,0.23
2023-03-10,8.074,8.074,8.081,8.074,17236,18019590.0,0.09,0.0,0.0,0.22
2023-03-13,8.071,8.076,8.081,8.054,7948,8304089.0,0.33,0.02,0.002,0.1
2023-03-14,8.071,8.054,8.077,8.047,9864,10300417.0,0.37,-0.27,-0.022,0.12
2023-03-15,8.054,8.059,8.066,8.041,13190,13768805.0,0.31,0.06,0.005,0.16
2023-03-16,8.057,8.055,8.057,8.049,16106,16805984.0,0.1,-0.05,-0.004,0.2
2023-03-17,8.055,8.03,8.059,8.025,15566,16223149.0,0.42,-0.31,-0.025,0.19
2023-03-20,8.03,8.018,8.038,7.991,17399,18102531.0,0.59,-0.15,-0.012,0.22
2023-03-21,8.003,7.973,8.011,7.966,19249,19965406.0,0.56,-0.56,-0.045,0.24
2023-03-22,7.973,7.951,8.001,7.948,11787,12201272.0,0.66,-0.28,-0.022,0.15
2023-03-23,8.001,7.941,8.001,7.921,27402,28292592.0,1.01,-0.13,-0.01,0.34
2023-03-24,7.942,7.932,7.965,7.921,14716,15185784.0,0.55,-0.11,-0.009,0.18
2023-03-27,7.932,7.889,7.932,7.886,15284,15718276.0,0.58,-0.54,-0.043,0.19
2023-03-28,7.889,7.722,7.889,7.721,16757,17068514.0,2.13,-2.12,-0.167,0.21
2023-03-29,7.729,7.721,7.757,7.721,16808,16998020.0,0.47,-0.01,-0.001,0.21
2023-03-30,7.719,7.624,7.72,7.622,11805,11848255.0,1.27,-1.26,-0.097,0.15
2023-03-31,7.676,7.67,7.676,7.609,14165,14206520.0,0.88,0.6,0.046,0.18
2023-04-03,7.731,7.663,7.759,7.659,17237,17332422.0,1.3,-0.09,-0.007,0.22
2023-04-04,7.661,7.603,7.661,7.594,13389,13378054.0,0.87,-0.78,-0.06,0.17
2023-04-06,7.608,7.535,7.661,7.532,11042,10974167.0,1.7,-0.89,-0.068,0.14
2023-04-07,7.541,7.528,7.547,7.497,13860,13727821.0,0.66,-0.09,-0.007,0.17
2023-04-10,7.528,7.526,7.541,7.522,17055,16897795.0,0.25,-0.03,-0.002,0.21
2023-04-11,7.526,7.494,7.526,7.493,10746,10614185.0,0.44,-0.43,-0.032,0.13
2023-04-12,7.493,7.39,7.493,7.39,19146,18741701.0,1.37,-1.39,-0.104,0.24
2023-04-13,7.411,7.182,7.411,7.18,17438,16730618.0,3.13,-2.81,-0.208,0.22
2023-04-14,7.182,7.152,7.216,7.122,18465,17628046.0,1.31,-0.42,-0.03,0.23
2023-04-17,7.151,7.252,7.252,7.151,30086,28931776.0,1.41,1.4,0.1,0.38
2023-04-18,7.251,7.387,7.39,7.223,20899,20321871.0,2.3,1.86,0.135,0.26
2023-04-19,7.391,7.464,7.467,7.391,15352,15072722.0,1.03,1.04,0.077,0.19
2023-04-20,7.466,7.456,7.476,7.453,17107,16832676.0,0.31,-0.11,-0.008,0.21
2023-04-21,7.456,7.29,7.467,7.201,13177,12845463.0,3.57,-2.23,-0.166,0.16
2023-04-24,7.29,7.351,7.361,7.29,11963,11643056.0,0.97,0.84,0.061,0.15
2023-04-25,7.355,7.35,7.374,7.322,10086,9814916.0,0.71,-0.01,-0.001,0.13
2023-04-26,7.349,7.301,7.351,7.265,4411,4272986.0,1.17,-0.67,-0.049,0.06
2023-04-27,7.31,7.251,7.32,7.221,5569,5367369.0,1.36,-0.68,-0.05,0.07
2023-04-28,7.261,7.184,7.277,7.133,14333,13714528.0,1.99,-0.92,-0.067,0.18
2023-05-04,7.201,7.191,7.262,7.164,4269,4087913.0,1.36,0.1,0.007,0.05
2023-05-05,7.194,7.195,7.212,7.185,2918,2794333.0,0.38,0.06,0.004,0.04
2023-05-08,7.189,7.192,7.217,7.164,6915,6614938.0,0.74,-0.04,-0.003,0.09
2023-05-09,7.192,7.168,7.192,7.149,6943,6621499.0,0.6,-0.33,-0.024,0.09
2023-05-10,7.168,7.185,7.2,7.152,8660,8281867.0,0.67,0.24,0.017,0.11
2023-05-11,7.185,7.173,7.251,7.172,8819,8433417.0,1.1,-0.17,-0.012,0.11
2023-05-12,7.173,7.171,7.214,7.159,8886,8502023.0,0.77,-0.03,-0.002,0.11
2023-05-15,7.261,7.135,7.261,7.122,7323,6971170.0,1.94,-0.5,-0.036,0.09
2023-05-16,7.135,7.13,7.137,7.095,3459,3286753.0,0.59,-0.07,-0.005,0.04
2023-05-17,7.13,7.111,7.13,7.101,4924,4673220.0,0.41,-0.27,-0.019,0.06
2023-05-18,7.111,7.09,7.14,7.08,3474,3289035.0,0.84,-0.3,-0.021,0.04
2023-05-19,7.09,7.059,7.09,7.052,3192,3013016.0,0.54,-0.44,-0.031,0.04
2023-05-22,7.057,6.991,7.057,6.97,9920,9300564.0,1.23,-0.96,-0.068,0.12
2023-05-23,6.991,6.982,6.991,6.967,3262,3051388.0,0.34,-0.13,-0.009,0.04
2023-05-24,6.982,6.97,6.986,6.967,5274,4932900.0,0.27,-0.17,-0.012,0.07
2023-05-25,6.973,6.961,6.988,6.96,5176,4837730.0,0.4,-0.13,-0.009,0.06
2023-05-26,6.961,6.954,6.971,6.942,4166,3890103.0,0.42,-0.1,-0.007,0.05
2023-05-29,6.954,6.908,6.957,6.885,4563,4238408.0,1.04,-0.66,-0.046,0.06
2023-05-30,6.908,6.762,6.908,6.761,4683,4310747.0,2.13,-2.11,-0.146,0.06
2023-05-31,6.76,6.188,6.761,6.171,22342,19514260.0,8.73,-8.49,-0.574,0.28
2023-06-01,6.19,6.255,6.273,6.19,11037,9505777.0,1.34,1.08,0.067,0.14
2023-06-02,6.282,6.302,6.304,6.2,10093,8716387.0,1.66,0.75,0.047,0.13
2023-06-05,6.321,6.063,6.36,6.054,10312,8833018.0,4.86,-3.79,-0.239,0.13
2023-06-06,6.063,6.175,6.271,5.901,16556,13831217.0,6.1,1.85,0.112,0.21
2023-06-07,6.175,6.391,6.395,6.175,14545,12596608.0,3.56,3.5,0.216,0.18
2023-06-08,6.391,6.642,6.651,6.321,14501,12993689.0,5.16,3.93,0.251,0.18
2023-06-09,6.642,6.643,6.731,6.611,10928,9875773.0,1.81,0.02,0.001,0.14
2023-06-12,6.643,6.532,6.643,6.491,12963,11543559.0,2.29,-1.67,-0.111,0.16
2023-06-13,6.532,6.528,6.532,6.504,10681,9503615.0,0.43,-0.06,-0.004,0.13
2023-06-14,6.529,6.559,6.575,6.529,20787,18568940.0,0.7,0.47,0.031,0.26
2023-06-15,6.559,6.561,6.575,6.543,9844,8800195.0,0.49,0.03,0.002,0.12
2023-06-16,6.561,6.616,6.616,6.561,16362,14660306.0,0.84,0.84,0.055,0.2
2023-06-19,6.583,6.533,6.621,6.454,5120,4553683.0,2.52,-1.25,-0.083,0.06
2023-06-20,6.533,6.461,6.533,6.441,10519,9299988.0,1.41,-1.1,-0.072,0.13
2023-06-21,6.461,6.42,6.501,6.42,8917,7867996.0,1.25,-0.63,-0.041,0.11
2023-06-26,6.419,6.426,6.469,6.411,12617,11112922.0,0.9,0.09,0.006,0.16
2023-06-27,6.426,6.458,6.491,6.426,8536,7538449.0,1.01,0.5,0.032,0.11
2023-06-28,6.684,6.474,6.684,6.451,14960,12211399.0,3.61,0.25,0.016,0.19
2023-06-29,6.5,6.481,6.551,6.475,10518,8632098.0,1.17,0.11,0.007,0.13
2023-06-30,6.481,6.451,6.49,6.45,6865,5602836.0,0.62,-0.46,-0.03,0.09
2023-07-03,6.45,6.33,6.45,6.325,24445,19699822.0,1.94,-1.88,-0.121,0.31
2023-07-04,6.329,6.303,6.329,6.294,14665,11728837.0,0.55,-0.43,-0.027,0.18
2023-07-05,6.3,6.293,6.3,6.257,7936,6335829.0,0.68,-0.16,-0.01,0.1
2023-07-06,6.293,6.327,6.352,6.293,13380,10732247.0,0.94,0.54,0.034,0.17
2023-07-07,6.327,6.505,6.52,6.327,7969,6482524.0,3.05,2.81,0.178,0.1
2023-07-10,6.507,6.632,6.647,6.507,9143,7573157.0,2.15,1.95,0.127,0.11
2023-07-11,6.639,6.72,6.726,6.639,8667,7253923.0,1.31,1.33,0.088,0.11
2023-07-12,6.72,6.747,6.76,6.679,9088,7649249.0,1.21,0.4,0.027,0.11
2023-07-13,6.747,6.874,6.893,6.747,8537,7288371.0,2.16,1.88,0.127,0.11
2023-07-14,6.845,7.036,7.075,6.817,17895,15511764.0,3.75,2.36,0.162,0.22
2023-07-17,7.055,7.156,7.199,7.055,19417,17177501.0,2.05,1.71,0.12,0.24
2023-07-18,7.157,7.239,7.245,7.156,26573,23721499.0,1.24,1.16,0.083,0.33
2023-07-19,7.242,7.195,7.247,7.115,22460,19963004.0,1.82,-0.61,-0.044,0.28
2023-07-20,7.194,7.094,7.194,7.094,10254,9033227.0,1.39,-1.4,-0.101,0.13
2023-07-21,7.055,6.995,7.055,6.905,7607,6585186.0,2.11,-1.4,-0.099,0.1
2023-07-24,6.992,6.985,6.996,6.858,6947,6007731.0,1.97,-0.14,-0.01,0.09
2023-07-25,6.985,7.108,7.155,6.984,14088,12424061.0,2.45,1.76,0.123,0.18
2023-07-26,7.108,7.031,7.127,6.983,4076,3559469.0,2.03,-1.08,-0.077,0.05
2023-07-27,7.016,6.97,7.02,6.963,8531,7410640.0,0.81,-0.87,-0.061,0.11
2023-07-28,6.974,6.991,6.991,6.947,5360,4644008.0,0.63,0.3,0.021,0.07
2023-07-31,6.966,7.026,7.046,6.965,8522,7435195.0,1.16,0.5,0.035,0.11
2023-08-01,7.025,7.026,7.106,6.999,13694,11984185.0,1.52,0.0,0.0,0.17
2023-08-02,7.035,7.078,7.09,7.026,13410,11710128.0,0.91,0.74,0.052,0.17
2023-08-03,7.084,7.155,7.159,7.084,11712,10307874.0,1.06,1.09,0.077,0.15
2023-08-04,7.151,7.162,7.17,7.135,2468,2185077.0,0.49,0.1,0.007,0.03
2023-08-07,7.122,7.233,7.234,7.122,8313,7364221.0,1.56,0.99,0.071,0.1
2023-08-08,7.233,7.224,7.275,7.216,15034,13409360.0,0.82,-0.12,-0.009,0.19
2023-08-09,7.224,7.225,7.233,7.207,14781,13173308.0,0.36,0.01,0.001,0.18
2023-08-10,7.224,7.255,7.256,7.213,9372,8362581.0,0.6,0.42,0.03,0.12
2023-08-11,7.256,7.238,7.284,7.234,8426,7543182.0,0.69,-0.23,-0.017,0.11
2023-08-14,7.238,7.178,7.238,7.146,8893,7880900.0,1.27,-0.83,-0.06,0.11
2023-08-15,7.178,7.202,7.207,7.178,10939,9730031.0,0.4,0.33,0.024,0.14
2023-08-16,7.202,7.223,7.255,7.168,12761,11347630.0,1.21,0.29,0.021,0.16
2023-08-17,7.223,7.164,7.223,7.136,20934,18512961.0,1.2,-0.82,-0.059,0.26
2023-08-18,7.178,7.198,7.205,7.157,5669,5030573.0,0.67,0.47,0.034,0.07
2023-08-21,7.21,7.18,7.217,7.18,8618,7664388.0,0.51,-0.25,-0.018,0.11
2023-08-22,7.18,7.184,7.185,7.161,9717,8625506.0,0.33,0.06,0.004,0.12
2023-08-23,7.184,7.135,7.235,7.135,17299,15291701.0,1.39,-0.68,-0.049,0.22
2023-08-24,7.135,7.227,7.274,7.104,21165,18724908.0,2.38,1.29,0.092,0.26
2023-08-25,7.227,7.225,7.236,7.196,15581,13903257.0,0.55,-0.03,-0.002,0.19
2023-08-28,7.225,7.276,7.314,7.225,15275,13740867.0,1.23,0.71,0.051,0.19
2023-08-29,7.276,7.378,7.379,7.276,14840,13372235.0,1.42,1.4,0.102,0.19
2023-08-30,7.333,7.405,7.405,7.333,12693,11516966.0,0.98,0.37,0.027,0.16
2023-08-31,7.405,7.514,7.514,7.385,16538,15178118.0,1.74,1.47,0.109,0.21
2023-09-01,7.514,7.484,7.555,7.481,21197,19498605.0,0.98,-0.4,-0.03,0.27
2023-09-04,7.484,7.505,7.524,7.484,18960,17449195.0,0.53,0.28,0.021,0.24
2023-09-05,7.564,7.403,7.564,7.353,13278,11757833.0,2.81,-1.36,-0.102,0.17
2023-09-06,7.399,7.474,7.535,7.279,13377,11852712.0,3.46,0.96,0.071,0.17
