日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-07-24,1.002,0.994,1.005,0.984,888000,88530618.736,2.11,0.0,0.0,48.19
2025-07-25,0.995,1.002,1.002,0.995,667830,66774551.663,0.7,0.8,0.008,36.24
2025-07-28,1.003,1.01,1.01,0.995,860522,86500079.523,1.5,0.8,0.008,46.7
2025-07-29,1.012,1.046,1.048,1.012,1118184,115052618.283,3.56,3.56,0.036,60.68
2025-07-30,1.041,1.037,1.043,1.023,549055,56771686.89,1.91,-0.86,-0.009,29.79
2025-07-31,1.041,1.044,1.079,1.041,836422,88401635.419,3.66,0.68,0.007,45.39
2025-08-01,1.04,1.041,1.055,1.015,411707,42685870.601,3.83,-0.29,-0.003,22.34
2025-08-04,1.031,1.045,1.046,1.025,265268,27480136.797,2.02,0.38,0.004,14.39
2025-08-05,1.053,1.046,1.055,1.03,306869,31952424.522,2.39,0.1,0.001,16.65
2025-08-06,1.043,1.059,1.06,1.036,226608,23843791.949,2.29,1.24,0.013,12.3
2025-08-07,1.06,1.051,1.074,1.031,306801,32089743.567,4.06,-0.76,-0.008,16.65
2025-08-08,1.051,1.032,1.051,1.032,231776,24081087.26,1.81,-1.81,-0.019,12.58
2025-08-11,1.032,1.059,1.065,1.032,410169,43310163.228,3.2,2.62,0.027,22.26
2025-08-12,1.06,1.088,1.09,1.06,422125,45440118.418,2.83,2.74,0.029,22.91
2025-08-13,1.09,1.156,1.158,1.09,602305,68209943.638,6.25,6.25,0.068,32.68
2025-08-14,1.156,1.128,1.156,1.122,477161,54462895.1,2.94,-2.42,-0.028,25.89
2025-08-15,1.116,1.14,1.142,1.116,328306,37071555.641,2.3,1.06,0.012,17.82
2025-08-18,1.14,1.204,1.222,1.14,583324,69393792.602,7.19,5.61,0.064,31.65
2025-08-19,1.209,1.233,1.243,1.195,747958,91843816.83,3.99,2.41,0.029,40.59
2025-08-20,1.226,1.23,1.23,1.18,624857,75480840.115,4.06,-0.24,-0.003,33.91
2025-08-21,1.229,1.214,1.238,1.201,560967,68389691.026,3.01,-1.3,-0.016,30.44
2025-08-22,1.208,1.273,1.274,1.205,644068,80138624.935,5.68,4.86,0.059,34.95
2025-08-25,1.285,1.344,1.359,1.285,651802,86361711.774,5.81,5.58,0.071,35.37
2025-08-26,1.352,1.346,1.368,1.323,531306,71474116.396,3.35,0.15,0.002,28.83
2025-08-27,1.382,1.357,1.424,1.345,1113240,153885722.86,5.87,0.82,0.011,60.41
2025-08-28,1.343,1.463,1.463,1.338,948286,133531041.869,9.21,7.81,0.106,51.46
2025-08-29,1.462,1.446,1.468,1.42,707824,102002673.449,3.28,-1.16,-0.017,38.41
2025-09-01,1.462,1.535,1.554,1.451,1032348,155273067.426,7.12,6.15,0.089,56.02
2025-09-02,1.54,1.447,1.554,1.42,1512109,223688630.821,8.73,-5.73,-0.088,82.06
2025-09-03,1.426,1.468,1.493,1.421,1128382,163955735.331,4.98,1.45,0.021,61.23
2025-09-04,1.492,1.328,1.506,1.307,1340852,187856115.99,13.56,-9.54,-0.14,72.76
2025-09-05,1.325,1.415,1.426,1.317,996403,135360354.109,8.21,6.55,0.087,54.07
2025-09-08,1.419,1.355,1.419,1.305,1078696,145698909.299,8.06,-4.24,-0.06,58.54
2025-09-09,1.331,1.333,1.36,1.308,683997,91334904.073,3.84,-1.62,-0.022,37.12
2025-09-10,1.355,1.379,1.404,1.351,779312,107470271.755,3.98,3.45,0.046,42.29
2025-09-11,1.398,1.498,1.498,1.398,1065025,154957758.492,7.25,8.63,0.119,57.79
2025-09-12,1.462,1.472,1.494,1.453,732898,108053644.078,2.74,-1.74,-0.026,39.77
2025-09-15,1.445,1.451,1.479,1.424,543820,78696781.174,3.74,-1.43,-0.021,29.51
2025-09-16,1.448,1.458,1.472,1.422,604982,87634381.3,3.45,0.48,0.007,32.83
2025-09-17,1.451,1.467,1.473,1.43,576424,84033435.882,2.95,0.62,0.009,31.28
2025-09-18,1.455,1.462,1.505,1.435,870497,128118617.414,4.77,-0.34,-0.005,47.24
2025-09-19,1.461,1.466,1.495,1.448,542804,79920219.195,3.21,0.27,0.004,29.46
2025-09-22,1.466,1.473,1.477,1.431,405537,59104703.659,3.14,0.48,0.007,22.01
2025-09-23,1.507,1.479,1.53,1.435,578451,85420024.73,6.45,0.41,0.006,31.39
2025-09-24,1.445,1.486,1.501,1.44,581937,85610267.482,4.12,0.47,0.007,31.58
2025-09-25,1.483,1.522,1.549,1.454,797468,120534987.535,6.39,2.42,0.036,43.28
