代码	名称
501018	南方原油
501025	香港银行
501029	红利基金
501050	50AH
501057	新能源车
501062	南方瑞合
501077	创新企业
501078	科创配置
501079	科创大成
501090	消费基金
501215	积极FOF
501219	智胜先锋
501225	全球芯片
501227	红利优选
501300	美元债
501312	海外科技
506000	科创板基
506001	万家科创
506002	易基科创
506003	富国科创
506005	科创板BS
506006	添富科创
508000	张江REIT
508001	浙江杭徽
508002	百联消费
508003	中金联东
508005	首创奥莱
508006	首创水务
508007	山东高速
508008	铁建REIT
508009	安徽交控
508010	重庆两江
508011	物美消费
508012	招商科创
508015	明阳REIT
508016	华电REIT
508017	金茂商业
508018	中交REIT
508019	湖北科投
508021	临港REIT
508022	津开产园
508026	电建清源
508027	东吴苏园
508028	国家电投
508029	沈软REIT
508031	城投宽庭
508033	深高REIT
508036	甬交REIT
508039	首农REIT
508048	外高REIT
508055	地产租住
508056	普洛斯
508058	厦门安居
508060	万国REIT
508066	苏交REIT
508068	京保REIT
508069	南京交通
508077	华润有巢
508078	易商仓储
508080	北京亦庄
508082	唯品奥莱
508084	九州通R
508085	恒泰租住
508086	河北高速
508087	济南能源
508088	东久REIT
508089	特变REIT
508090	外运REIT
508091	凯德商业
508092	金隅智造
508096	京能光伏
508097	建邺REIT
508098	京东仓储
508099	中关村
510010	治理ETF
510020	超大ETF
510030	价值ETF
510050	50ETF
510060	央企ETF
510100	SZ50ETF
510130	中盘ETF
510150	消费ETF
510160	产业升级
510170	商品ETF
510180	180ETF
510190	上证50基
510200	上证券商
510210	综指ETF
510230	金融ETF
510290	380ETF
510300	300ETF
510310	HS300ETF
510320	300中金
510330	华夏300
510350	工银300
510360	广发300
510370	兴业300
510380	国寿300
510390	平安300
510410	资源ETF
510500	500ETF
510510	广发500
510530	工银500
510560	国寿500
510580	ZZ500ETF
510590	平安500
510630	消费30
510670	180指
510710	上50ETF
510720	红利国泰
510760	上证ETF
510800	上证50
510810	上海国企
510850	工银上50
510880	红利ETF
510900	恒生中国
510980	上证综合
511010	国债ETF
511020	活跃国债
511030	公司债
511060	5年地债
511070	沪公司债
511090	30年国债
511100	基准国债
511110	公司债易
511120	科创债基
511130	国债30年
511150	科债永赢
511160	国债东财
511180	上证转债
511190	信用债
511200	信用债基
511220	城投ETF
511260	十年国债
511270	10年地债
511360	短融ETF
511380	转债ETF
511520	政金债
511580	国债政金
511620	货币基金
511660	建信添益
511690	交易货币
511700	场内货币
511800	易货币
511810	理财金H
511850	财富宝E
511880	银华日利
511900	富国货币
511990	华宝添益
512000	券商ETF
512010	医药ETF
512020	A500
512040	国信价值
512050	A500E
512070	证券保险
512080	A500中金
512090	MSCI易基
512100	1000ETF
512120	医药50
512160	MSCI基金
512170	医疗ETF
512190	之江凤凰
512200	地产ETF
512220	TMTETF
512250	A50指数E
512290	生物医药
512330	信息ETF
512380	MSCI中国
512390	MSCI低波
512400	有色ETF
512480	半导体
512500	中证500
512510	ETF500
512530	300红利
512550	A50基金
512560	中证军工
512570	中证证券
512580	环保ETF
512600	必选消费
512620	农业TH
512630	卫星基金
512660	军工ETF
512670	国防ETF
512680	军工基金
512690	酒ETF
512700	银行基金
512710	军工龙头
512720	计算机
512730	银行FUND
512760	芯片ETF
512770	战略新兴
512800	银行ETF
512810	国防军工
512820	银行股基
512880	证券ETF
512890	红利低波
512900	证券基金
512910	100ETF
512930	AIETF
512950	央企改革
512960	央调ETF
512980	传媒ETF
512990	MSCIA股
513000	225ETF
513010	港股科技
513020	科技HK
513030	德国ETF
513040	HK互联网
513050	中概互联
513060	恒生医疗
513070	HK消费50
513080	法国ETF
513090	香港证券
513100	纳指ETF
513110	纳指100
513120	HK创新药
513130	恒生科技
513140	港股金融
513150	港科技50
513160	科技30
513170	恒生央企
513180	恒指科技
513190	H股金融
513200	港股医药
513220	互联网30
513230	H股消费
513260	恒科技
513280	恒生生物
513290	纳指生物
513300	纳斯达克
513310	中韩芯片
513320	HK新经济
513330	恒生互联
513350	油气ETF
513360	教育ETF
513380	科技恒生
513390	纳指基金
513400	道琼斯
513500	标普500
513520	日经ETF
513530	港股红利
513550	港股通50
513560	香港科技
513580	HS科技
513590	香港消费
513600	恒指ETF
519800	保证金A
519878	国保A
519888	添富快线
519898	现金宝A
520500	恒生新药
520510	港股医疗
520530	港科ETF
520550	红利恒生
520560	香港30
520570	科技恒指
520580	新兴亚洲
520590	恒科
520600	汽车港股
520620	港股消费
520650	互联网HK
520660	港红利NF
520670	港科基金
520690	恒生港药
520700	创新药WJ
520720	香港汽车
520820	恒指通
520830	沙特ETF
520840	港科技
520860	港股通科
520870	巴西ETF
520880	港创新药
520890	港红利
520900	红利香港
520920	恒生科TH
520950	港股50
520960	恒指港通
520970	港股通药
520980	港科技30
520990	国新红利
530000	50ETF基
530050	SH50ETF
530100	上证580
530380	上证380
530530	580ETF
530680	180E
551000	科创债
551030	科创债券
551060	科创债沪
551300	科创债摩
551500	科创债易
551510	科债AAA
551520	科创债汇
551550	科创AAA
551560	科创债兴
551580	科创债TK
551800	国泰科债
551900	科创债指
560010	1000基金
560050	MSCIA50
560060	碳中和基
560070	央企分红
560080	中药ETF
560090	证券指数
560110	ZZ1000
560150	红利TK
560170	央企科技
560260	医疗50
560280	工程机械
560350	A50指数
560360	软件指数
560380	A100
560500	500质量
560510	中证A500
560530	A500ETF
560550	碳中和
560570	A500低波
560580	电力指基
560610	A500指数
560630	机器人WJ
560660	云50ETF
560680	龙头消费
560700	央红利50
560750	A500申万
560770	机器人ZS
560780	半导设备
560800	数字ETF
560810	央企ESG
560850	信创50
560860	工业有色
560880	家电基金
560900	创新药企
560980	光伏龙头
561000	300指增
561010	软件开发
561090	A500增
561100	电子龙头
561130	国货ETF
561160	锂电池
561170	绿电50
561190	双碳ETF
561220	国企数字
561230	A50
561300	300增ETF
561330	矿业ETF
561350	国泰500
561360	石油ETF
561380	电网ETF
561550	500指增
561560	电力ETF
561580	央企红利
561600	消费电子
561680	A500红低
561700	电力基金
561750	A50博时
561800	稀金属
561870	现金流指
561880	A100指数
561910	电池ETF
561930	招商300
561980	芯片设备
562000	中证A100
562060	标普红利
562080	自由现金
562310	300成长
562320	300价值A
562360	机器人YH
562500	机器人
562510	旅游ETF
