date,fund_code,名称,评分,风险预警,回撤%,RSI6,BIAS20,price,ma5_trend,persist_days
2025-12-31,512000,券商ETF,1,🚩假摔陷阱,-10.37,55.0,0.41,0.579,UP,1
2025-12-31,512720,计算机ETF,1,正常,-12.95,0.0,2.03,1.196,UP,34
2025-12-31,512900,证券ETF南方,1,🚩假摔陷阱,-10.33,55.0,0.38,1.198,UP,1
2025-12-31,515750,科技50ETF,1,🚩假摔陷阱,-10.36,91.43,1.31,1.808,UP,34
2025-12-31,515710,食品饮料ETF华宝,1,正常,-11.25,23.81,-1.35,0.584,DOWN,3
2025-12-31,512600,消费ETF嘉实,1,正常,-10.85,13.33,-1.18,0.674,DOWN,3
2025-12-31,515170,食品饮料ETF,1,正常,-11.47,27.27,-1.39,0.548,DOWN,3
2025-12-31,512170,医疗ETF,1,正常,-15.42,35.71,-1.06,0.34,DOWN,33
2025-12-31,515400,大数据ETF,1,正常,-14.56,0.0,2.43,0.939,UP,39
2025-12-31,512690,酒ETF,3,正常,-17.79,23.08,-2.78,0.536,DOWN,256
2025-12-31,515220,煤炭ETF,3,正常,-14.9,24.14,-2.14,1.028,DOWN,18
2025-12-31,515120,创新药ETF,3,正常,-17.55,11.11,-2.47,0.625,DOWN,33
2025-12-31,512760,芯片ETF,1,🚩假摔陷阱,-10.66,60.0,2.0,1.618,UP,1
2025-12-31,515010,券商ETF基金,1,🚩假摔陷阱,-10.4,55.56,0.25,1.387,UP,1
2025-12-31,515250,智能汽车ETF,1,🚩假摔陷阱,-10.81,84.0,3.32,1.155,UP,42
2025-12-31,515230,软件ETF,1,正常,-14.34,0.0,3.32,0.896,UP,39
2025-12-31,515790,光伏ETF,1,🚩假摔陷阱,-11.09,59.38,0.6,0.962,UP,2
2025-12-31,512290,生物医药ETF,3,正常,-18.03,22.86,-2.01,1.0,DOWN,43
2025-12-31,512880,证券ETF,1,🚩假摔陷阱,-10.43,55.0,0.36,1.211,UP,2
2025-12-31,512010,医药ETF,3,正常,-17.11,26.67,-2.07,0.378,DOWN,34
2025-12-31,515950,医药龙头ETF,3,正常,-15.62,26.67,-1.57,0.924,DOWN,33
