date,fund_code,名称,评分,风险预警,回撤%,RSI6,BIAS20,price,ma5_trend,persist_days
2026-01-09,513560,香港科技ETF,1,🚩假摔陷阱,-16.45,62.71,1.83,1.366,UP,39
2026-01-09,159561,德国ETF,1,正常,-16.71,0.0,2.21,1.401,UP,159
2026-01-09,513880,日经225ETF,1,🚩假摔陷阱,-12.53,64.55,0.93,1.717,UP,24
2026-01-09,159851,金融科技ETF,1,🚩假摔陷阱,-12.95,73.4,6.71,0.887,UP,64
2026-01-09,512730,银行ETF指数,3,正常,-10.27,15.0,-1.06,1.66,DOWN,1
2026-01-09,513890,恒生科技HKETF,1,🚩假摔陷阱,-13.86,56.45,1.75,1.137,UP,39
2026-01-09,159748,创新药ETF富国,1,🚩假摔陷阱,-10.55,89.66,6.18,0.822,UP,39
2026-01-09,513980,港股科技50ETF,1,🚩假摔陷阱,-16.27,62.34,2.07,0.741,UP,39
2026-01-09,159688,恒生互联网ETF,1,🚩假摔陷阱,-13.81,59.69,2.09,1.08,UP,39
2026-01-09,516860,金融科技ETF,1,🚩假摔陷阱,-12.96,73.58,6.69,1.511,UP,64
2026-01-09,159529,标普消费ETF,1,🚩假摔陷阱,-28.89,61.76,-0.66,1.386,UP,214
2026-01-09,513070,港股消费ETF易方达,1,🚩假摔陷阱,-11.25,60.71,-0.94,1.317,UP,8
2026-01-09,513060,恒生医疗ETF,1,🚩假摔陷阱,-13.03,88.75,6.36,0.654,UP,38
2026-01-09,513820,港股红利ETF基金,1,正常,-11.12,30.56,-1.57,1.207,DOWN,8
2026-01-09,512820,银行ETF龙头,3,正常,-10.87,20.0,-1.26,1.418,DOWN,2
2026-01-09,513090,香港证券ETF,1,🚩假摔陷阱,-14.11,65.62,2.76,2.149,UP,49
2026-01-09,159605,中概互联ETF,1,🚩假摔陷阱,-13.41,57.66,1.03,1.111,UP,38
2026-01-09,159858,创新药ETF南方,1,🚩假摔陷阱,-10.78,96.23,4.78,0.712,UP,38
2026-01-09,515170,食品饮料ETF,1,🚩假摔陷阱,-10.02,65.22,0.17,0.557,UP,2
2026-01-09,159747,香港科技ETF,1,🚩假摔陷阱,-15.12,59.03,1.62,1.431,UP,39
2026-01-09,513860,港股通科技ETF,1,🚩假摔陷阱,-16.25,63.51,2.18,0.742,UP,39
2026-01-09,520520,恒生消费ETF华泰柏瑞,1,🚩假摔陷阱,-12.31,61.4,-0.25,1.09,UP,23
2026-01-09,159568,港股互联网ETF,1,🚩假摔陷阱,-17.46,63.27,1.79,1.725,UP,47
2026-01-09,513770,港股互联网ETF,1,🚩假摔陷阱,-17.4,63.08,1.82,0.541,UP,47
2026-01-09,159303,恒生医疗ETF基金,1,🚩假摔陷阱,-12.87,88.02,6.14,1.814,UP,38
2026-01-09,560900,创新药企ETF,1,🚩假摔陷阱,-11.02,94.59,4.65,0.969,UP,38
2026-01-09,159751,港股科技ETF,1,🚩假摔陷阱,-16.05,63.11,2.01,1.067,UP,39
2026-01-09,508001,浙商沪杭甬REIT,1,🚩假摔陷阱,-24.65,76.65,-0.33,5.657,UP,76
