date,fund_code,名称,评分,风险预警,回撤%,RSI6,BIAS20,price,ma5_trend,persist_days
2026-01-05,512720,计算机ETF,1,正常,-10.04,0.0,5.17,1.236,UP,35
2026-01-05,515170,食品饮料ETF,1,正常,-10.02,50.0,0.25,0.557,DOWN,4
2026-01-05,512170,医疗ETF,1,🚩假摔陷阱,-10.95,70.97,3.92,0.358,UP,34
2026-01-05,515400,大数据ETF,1,正常,-11.83,0.0,5.47,0.969,UP,40
2026-01-05,512690,酒ETF,1,正常,-16.26,47.06,-0.84,0.546,DOWN,257
2026-01-05,515220,煤炭ETF,1,正常,-14.4,43.33,-1.28,1.034,DOWN,19
2026-01-05,515120,创新药ETF,1,🚩假摔陷阱,-14.38,60.98,1.28,0.649,UP,34
2026-01-05,515230,软件ETF,1,正常,-11.76,0.0,6.05,0.923,UP,40
2026-01-05,512290,生物医药ETF,1,🚩假摔陷阱,-14.51,64.47,2.09,1.043,UP,44
2026-01-05,512010,医药ETF,1,🚩假摔陷阱,-14.04,64.29,1.49,0.392,UP,35
2026-01-05,515950,医药龙头ETF,1,🚩假摔陷阱,-12.88,64.41,1.55,0.954,UP,34
