date,fund_code,名称,评分,风险预警,回撤%,RSI6,BIAS20,price,ma5_trend,persist_days
2026-01-12,513010,恒生科技ETF易方达,1,🚩假摔陷阱,-12.04,66.95,3.93,0.789,UP,40
2026-01-12,159887,银行ETF,1,正常,-10.11,37.4,-0.67,1.325,DOWN,3
2026-01-12,501312,海外科技LOF,1,正常,-11.14,49.01,0.15,2.082,UP,13
2026-01-12,517900,银行AH优选ETF,1,正常,-12.1,37.17,-1.08,1.475,DOWN,5
2026-01-12,159735,港股消费ETF,1,🚩假摔陷阱,-11.51,58.02,0.16,0.807,UP,24
2026-01-12,159822,新经济ETF,1,🚩假摔陷阱,-11.76,67.66,3.27,0.75,UP,40
2026-01-12,515290,银行ETF天弘,1,正常,-10.35,32.68,-0.89,1.455,DOWN,3
2026-01-12,513780,港股创新药50ETF,1,🚩假摔陷阱,-14.23,76.45,6.39,1.73,UP,48
2026-01-12,513580,恒生科技ETF指数,1,🚩假摔陷阱,-10.94,71.89,4.67,0.773,UP,40
2026-01-12,513040,港股通互联网ETF,1,🚩假摔陷阱,-13.18,74.91,6.78,1.515,UP,48
2026-01-12,159329,沙特ETF,1,🚩假摔陷阱,-30.68,59.68,0.88,0.931,UP,110
2026-01-12,512290,生物医药ETF,1,🚩假摔陷阱,-10.98,83.78,5.32,1.086,UP,49
2026-01-12,520600,港股汽车ETF,1,正常,-12.78,45.42,0.06,1.235,UP,2
2026-01-12,159615,恒生生物科技ETF,1,🚩假摔陷阱,-12.52,79.98,6.96,1.237,UP,40
2026-01-12,520700,港股创新药ETF基金,1,🚩假摔陷阱,-14.55,76.12,6.4,1.668,UP,57
2026-01-12,159557,恒生医疗ETF,1,🚩假摔陷阱,-12.53,80.71,6.71,1.662,UP,39
2026-01-12,515020,银行ETF基金,1,正常,-10.27,34.69,-0.83,1.722,DOWN,3
2026-01-12,159302,港股高股息ETF,1,正常,-11.18,37.44,-1.14,1.271,UP,12
2026-01-12,508099,建信中关村REIT,1,🚩假摔陷阱,-11.38,67.5,1.22,2.001,UP,38
2026-01-12,513700,香港医药ETF,1,🚩假摔陷阱,-12.59,79.81,6.47,0.694,UP,39
2026-01-12,159741,恒生科技ETF嘉实,1,🚩假摔陷阱,-11.55,67.68,4.13,0.758,UP,40
2026-01-12,159742,恒生科技指数ETF,1,🚩假摔陷阱,-11.99,67.05,3.91,0.778,UP,36
2026-01-12,159718,港股医药ETF,1,🚩假摔陷阱,-13.09,79.63,6.32,0.976,UP,39
2026-01-12,159607,中概互联网ETF,1,🚩假摔陷阱,-11.09,67.4,3.79,1.138,UP,39
2026-01-12,159768,房地产ETF,1,🚩假摔陷阱,-12.71,60.92,2.22,0.57,UP,31
2026-01-12,516820,医疗创新ETF,1,🚩假摔陷阱,-10.8,79.61,3.11,0.38,UP,39
2026-01-12,159981,能源化工ETF,1,🚩假摔陷阱,-13.85,64.49,3.5,1.288,UP,349
2026-01-12,513970,恒生消费ETF,1,🚩假摔陷阱,-12.1,59.93,0.52,0.944,UP,26
2026-01-12,512800,银行ETF,1,正常,-10.38,38.71,-0.74,0.812,DOWN,3
2026-01-12,501018,南方原油LOF,1,🚩假摔陷阱,-21.86,72.01,1.65,1.126,UP,137
2026-01-12,159839,生物药ETF,1,🚩假摔陷阱,-10.88,84.05,5.02,0.385,UP,39
2026-01-12,513260,恒生科技ETF基金,1,🚩假摔陷阱,-11.95,67.1,4.04,1.473,UP,39
2026-01-12,159622,创新药ETF沪港深,1,🚩假摔陷阱,-11.09,82.37,5.89,1.163,UP,39
2026-01-12,159518,标普油气ETF,1,正常,-24.89,44.22,-0.77,0.893,DOWN,226
2026-01-12,513320,恒生新经济ETF,1,🚩假摔陷阱,-13.69,67.02,3.18,1.368,UP,40
2026-01-12,513050,中概互联网ETF,1,🚩假摔陷阱,-12.31,63.85,2.81,1.539,UP,38
2026-01-12,159750,港股科技50ETF,1,🚩假摔陷阱,-13.63,66.58,3.63,1.071,UP,40
2026-01-12,513530,港股通红利ETF,3,正常,-11.14,28.9,-1.66,1.595,DOWN,7
2026-01-12,513380,恒生科技ETF龙头,1,🚩假摔陷阱,-12.09,66.75,3.94,0.698,UP,40
2026-01-12,512010,医药ETF,1,🚩假摔陷阱,-11.4,80.01,3.98,0.404,UP,40
2026-01-12,513130,恒生科技ETF,1,🚩假摔陷阱,-12.09,67.06,3.85,0.756,UP,40
2026-01-12,508077,华夏基金华润有巢REIT,1,正常,-23.76,35.85,-0.28,2.917,DOWN,91
2026-01-12,513150,港股通科技ETF华泰柏瑞,1,🚩假摔陷阱,-14.6,70.09,3.97,1.193,UP,40
2026-01-12,159892,恒生医药ETF,1,🚩假摔陷阱,-12.07,76.54,6.67,0.86,UP,39
2026-01-12,159859,生物医药ETF,1,🚩假摔陷阱,-10.58,83.62,5.13,0.414,UP,39
