证券代码,证券简称,收盘价,成交额(万),RSI(14),量比,乖离率%,横盘天数,网格状态,胜率置信度,布林位置,建议操作,加码倍数,20日均振幅%
513180,恒生科技ETF,0.755,411943.69,52.27,0.87,1.89,2,正常震荡,★★★☆☆,中轨上方(看强),常规网格,1.0x,1.44
512000,券商ETF,0.591,154287.97,53.99,0.77,1.35,2,正常震荡,★★★☆☆,中轨上方(看强),常规网格,1.0x,1.77
159806,新能源车ETF,0.842,3160.29,62.02,1.11,5.31,0,正常震荡,★★★☆☆,中轨上方(看强),常规网格,1.0x,2.42
159915,创业板ETF,3.314,508707.26,63.08,1.23,3.56,0,正常震荡,★★★☆☆,中轨上方(看强),常规网格,1.0x,1.8
159857,光伏ETF,0.865,26534.02,63.84,1.28,5.23,0,正常震荡,★★★☆☆,中轨上方(看强),常规网格,1.0x,2.02
510300,沪深300ETF,4.885,553558.19,63.94,1.18,2.65,0,正常震荡,★★★☆☆,中轨上方(看强),常规网格,1.0x,1.21
159992,创新药ETF,0.897,84497.15,64.3,1.05,4.68,0,正常震荡,★★★☆☆,中轨上方(看强),常规网格,1.0x,1.6
