date,fund_code,名称,评分,风险预警,回撤%,RSI6,BIAS20,price,ma5_trend,persist_days
2026-01-07,515400,大数据ETF,1,🚩假摔陷阱,-10.92,95.16,6.06,0.979,UP,42
2026-01-07,512690,酒ETF,1,正常,-16.1,45.16,-0.45,0.547,DOWN,259
2026-01-07,515120,创新药ETF,1,🚩假摔陷阱,-12.8,69.23,3.1,0.661,UP,36
2026-01-07,515230,软件ETF,1,🚩假摔陷阱,-10.9,82.76,6.34,0.932,UP,1
2026-01-07,512290,生物医药ETF,1,🚩假摔陷阱,-12.87,70.0,3.77,1.063,UP,46
2026-01-07,512010,医药ETF,1,🚩假摔陷阱,-12.94,67.86,2.61,0.397,UP,37
2026-01-07,515950,医药龙头ETF,1,🚩假摔陷阱,-11.78,67.74,2.66,0.966,UP,36
