date,fund_code,名称,评分,风险预警,回撤%,RSI6,BIAS20,price,ma5_trend
2026-01-13,520700,港股创新药ETF基金,1,🚩假摔陷阱,-13.17,95.74,7.85,1.695,UP
2026-01-13,159557,恒生医疗ETF,1,正常,-11.63,0.0,7.5,1.679,UP
2026-01-13,159302,港股高股息ETF,1,🚩假摔陷阱,-10.48,65.0,-0.22,1.281,UP
2026-01-13,513700,香港医药ETF,1,正常,-11.21,0.0,7.84,0.705,UP
2026-01-13,159741,恒生科技ETF嘉实,1,🚩假摔陷阱,-11.79,59.68,3.74,0.756,UP
2026-01-13,159742,恒生科技指数ETF,1,🚩假摔陷阱,-11.99,60.66,3.8,0.778,UP
2026-01-13,159718,港股医药ETF,1,正常,-12.02,0.0,7.33,0.988,UP
2026-01-13,159607,中概互联网ETF,1,🚩假摔陷阱,-11.8,54.84,2.91,1.129,UP
2026-01-13,159768,房地产ETF,1,🚩假摔陷阱,-13.63,56.41,1.11,0.564,UP
2026-01-13,516820,医疗创新ETF,1,正常,-10.09,0.0,3.68,0.383,UP
2026-01-13,159981,能源化工ETF,1,🚩假摔陷阱,-14.38,64.94,2.43,1.28,UP
2026-01-13,513970,恒生消费ETF,1,🚩假摔陷阱,-12.66,65.62,-0.09,0.938,UP
2026-01-13,512800,银行ETF,1,正常,-10.04,41.38,-0.39,0.815,DOWN
2026-01-13,501018,南方原油LOF,1,🚩假摔陷阱,-20.33,86.67,3.5,1.148,UP
2026-01-13,513260,恒生科技ETF基金,1,🚩假摔陷阱,-11.95,61.06,3.91,1.473,UP
2026-01-13,508027,东吴苏园产业REIT,1,🚩假摔陷阱,-19.84,96.8,4.51,2.997,UP
2026-01-13,159518,标普油气ETF,1,正常,-24.31,37.78,0.19,0.9,DOWN
2026-01-13,513320,恒生新经济ETF,1,🚩假摔陷阱,-13.5,62.5,3.39,1.371,UP
2026-01-13,513050,中概互联网ETF,1,🚩假摔陷阱,-11.85,57.85,3.29,1.547,UP
2026-01-13,159750,港股科技50ETF,1,🚩假摔陷阱,-13.39,62.03,3.83,1.074,UP
2026-01-13,513530,港股通红利ETF,1,🚩假摔陷阱,-10.47,56.82,-0.77,1.607,UP
2026-01-13,508096,中航京能光伏REIT,1,🚩假摔陷阱,-18.09,63.25,-0.5,10.164,UP
2026-01-13,513380,恒生科技ETF龙头,1,🚩假摔陷阱,-11.96,60.38,3.95,0.699,UP
2026-01-13,512010,医药ETF,1,正常,-10.09,0.0,5.26,0.41,UP
2026-01-13,513130,恒生科技ETF,1,🚩假摔陷阱,-11.98,61.11,3.86,0.757,UP
2026-01-13,508077,华夏基金华润有巢REIT,1,正常,-24.46,1.22,-0.89,2.89,DOWN
2026-01-13,513150,港股通科技ETF华泰柏瑞,1,🚩假摔陷阱,-14.32,67.5,4.23,1.197,UP
2026-01-13,159892,恒生医药ETF,1,🚩假摔陷阱,-10.94,95.77,7.71,0.871,UP
