date,fund_code,名称,评分,风险预警,回撤%,RSI6,BIAS20,price,ma5_trend
2026-01-15,513560,香港科技ETF,1,🚩假摔陷阱,-14.19,70.45,3.71,1.403,UP
2026-01-15,159561,德国ETF,1,🚩假摔陷阱,-15.28,90.48,3.05,1.425,UP
2026-01-15,512000,券商ETF,1,正常,-10.06,21.43,-1.05,0.581,DOWN
2026-01-15,513890,恒生科技HKETF,1,🚩假摔陷阱,-12.35,58.67,2.65,1.157,UP
2026-01-15,159748,创新药ETF富国,1,🚩假摔陷阱,-10.01,73.68,5.21,0.827,UP
2026-01-15,513980,港股科技50ETF,1,🚩假摔陷阱,-13.33,71.7,4.61,0.767,UP
2026-01-15,560680,消费ETF龙头,1,正常,-11.01,27.59,-1.23,0.865,DOWN
2026-01-15,159688,恒生互联网ETF,1,🚩假摔陷阱,-10.93,66.33,4.26,1.116,UP
2026-01-15,159529,标普消费ETF,1,🚩假摔陷阱,-28.27,81.82,0.22,1.398,UP
2026-01-15,513070,港股消费ETF易方达,1,正常,-10.92,47.5,-0.37,1.322,DOWN
2026-01-15,513060,恒生医疗ETF,1,🚩假摔陷阱,-10.9,81.25,7.17,0.67,UP
2026-01-15,512710,军工龙头ETF,1,🚩假摔陷阱,-10.83,57.45,9.41,0.873,UP
2026-01-15,513820,港股红利ETF基金,1,🚩假摔陷阱,-10.75,59.09,-0.57,1.212,UP
2026-01-15,515710,食品饮料ETF华宝,1,正常,-10.79,33.33,-1.03,0.587,DOWN
2026-01-15,512820,银行ETF龙头,3,正常,-12.13,20.29,-2.53,1.398,DOWN
2026-01-15,513090,香港证券ETF,1,正常,-15.15,12.93,0.55,2.123,DOWN
2026-01-15,159605,中概互联ETF,1,正常,-12.78,46.15,1.16,1.119,DOWN
2026-01-15,159858,创新药ETF南方,1,🚩假摔陷阱,-11.78,55.56,2.57,0.704,UP
2026-01-15,512600,消费ETF嘉实,1,正常,-10.98,23.81,-1.31,0.673,DOWN
2026-01-15,515170,食品饮料ETF,1,正常,-10.99,34.78,-1.05,0.551,DOWN
2026-01-15,159747,香港科技ETF,1,🚩假摔陷阱,-12.75,65.96,3.57,1.471,UP
2026-01-15,513860,港股通科技ETF,1,🚩假摔陷阱,-13.43,73.08,4.59,0.767,UP
2026-01-15,159568,港股互联网ETF,1,🚩假摔陷阱,-13.44,70.34,5.35,1.809,UP
2026-01-15,513770,港股互联网ETF,1,🚩假摔陷阱,-12.98,73.24,5.83,0.57,UP
2026-01-15,159303,恒生医疗ETF基金,1,🚩假摔陷阱,-10.61,84.17,7.08,1.861,UP
2026-01-15,560900,创新药企ETF,1,🚩假摔陷阱,-11.85,56.9,2.58,0.96,UP
2026-01-15,159751,港股科技ETF,1,🚩假摔陷阱,-13.3,75.71,4.37,1.102,UP
2026-01-15,508001,浙商沪杭甬REIT,1,🚩假摔陷阱,-24.61,70.0,0.27,5.66,UP
