date,fund_code,名称,评分,风险预警,回撤%,RSI6,BIAS20,price,ma5_trend
2026-01-15,512690,酒ETF,1,正常,-17.18,33.33,-1.42,0.54,DOWN
2026-01-15,508009,中金安徽交控REIT,1,正常,-16.63,48.77,0.76,6.82,DOWN
2026-01-15,159792,港股通互联网ETF,1,🚩假摔陷阱,-13.08,74.55,5.89,0.93,UP
2026-01-15,513180,恒生科技指数ETF,1,🚩假摔陷阱,-12.21,58.82,2.83,0.769,UP
2026-01-15,513230,港股消费ETF,1,正常,-10.58,48.39,-0.01,1.048,DOWN
2026-01-15,513280,恒生生物科技ETF,1,🚩假摔陷阱,-10.48,80.95,7.51,1.239,UP
2026-01-15,515220,煤炭ETF,1,正常,-11.67,11.76,0.97,1.067,DOWN
2026-01-15,513200,港股通医药ETF,1,🚩假摔陷阱,-10.75,83.95,7.6,1.196,UP
2026-01-15,159740,恒生科技ETF,1,🚩假摔陷阱,-12.24,59.57,2.7,0.753,UP
2026-01-15,515120,创新药ETF,1,🚩假摔陷阱,-12.01,59.38,2.76,0.667,UP
2026-01-15,513160,港股科技30ETF,1,🚩假摔陷阱,-11.76,70.64,4.92,1.283,UP
2026-01-15,159776,港股通医药ETF,1,🚩假摔陷阱,-10.88,77.89,7.03,1.335,UP
2026-01-15,520500,恒生创新药ETF,1,🚩假摔陷阱,-19.33,65.06,4.18,1.711,UP
2026-01-15,159843,食品饮料ETF,1,正常,-10.09,36.36,-0.94,0.633,DOWN
2026-01-15,159928,消费ETF,1,正常,-11.24,26.67,-1.39,0.79,DOWN
2026-01-15,513220,中概互联ETF,1,正常,-12.64,50.0,1.49,1.306,DOWN
2026-01-15,513020,港股科技ETF,1,🚩假摔陷阱,-13.77,75.68,4.34,1.19,UP
2026-01-15,159506,港股通医疗ETF富国,1,🚩假摔陷阱,-12.34,81.71,7.09,1.506,UP
2026-01-15,513120,港股创新药ETF,1,🚩假摔陷阱,-13.07,79.35,7.23,1.377,UP
2026-01-15,513350,标普油气ETF,1,🚩假摔陷阱,-22.29,73.91,2.3,0.962,UP
2026-01-15,520830,沙特ETF,1,🚩假摔陷阱,-29.26,60.34,1.84,0.926,UP
2026-01-15,159636,港股通科技30ETF,1,🚩假摔陷阱,-13.03,73.33,4.25,0.701,UP
2026-01-15,560090,证券ETF龙头,1,正常,-10.05,22.58,-0.87,1.307,DOWN
2026-01-15,513330,恒生互联网ETF,1,🚩假摔陷阱,-10.66,68.29,4.34,0.553,UP
2026-01-15,508056,中金普洛斯REIT,1,正常,-12.91,14.58,0.78,3.258,DOWN
2026-01-15,513590,香港消费ETF,1,正常,-11.52,48.28,-0.18,0.922,DOWN
2026-01-15,159312,恒生ETF港股通,1,🚩假摔陷阱,-12.52,75.0,0.51,1.279,UP
2026-01-15,159992,创新药ETF,1,🚩假摔陷阱,-11.79,59.09,2.83,0.89,UP
2026-01-15,159707,地产ETF,1,🚩假摔陷阱,-13.91,51.16,0.33,0.625,UP
2026-01-15,159699,恒生消费ETF,1,🚩假摔陷阱,-11.97,62.5,0.54,1.022,UP
2026-01-15,512700,银行ETF南方,3,正常,-12.31,19.72,-2.48,1.56,DOWN
2026-01-15,516080,创新药ETF易方达,1,🚩假摔陷阱,-11.38,55.81,2.59,0.701,UP
2026-01-15,516310,银行ETF易方达,3,正常,-11.68,20.63,-2.45,1.316,DOWN
2026-01-15,512560,军工ETF易方达,1,🚩假摔陷阱,-10.23,58.1,8.15,0.93,UP
2026-01-15,159570,港股通创新药ETF,1,🚩假摔陷阱,-16.45,68.54,5.12,1.737,UP
2026-01-15,159567,港股创新药ETF,1,🚩假摔陷阱,-18.36,65.31,4.72,0.836,UP
2026-01-15,159835,创新药50ETF,1,🚩假摔陷阱,-11.49,58.54,2.79,0.693,UP
2026-01-15,159841,证券ETF,1,正常,-10.03,22.89,-0.96,1.103,DOWN
2026-01-15,513010,恒生科技ETF易方达,1,🚩假摔陷阱,-12.26,60.78,2.92,0.787,UP
2026-01-15,159887,银行ETF,3,正常,-11.87,19.7,-2.54,1.299,DOWN
2026-01-15,159638,高端装备ETF,1,🚩假摔陷阱,-13.41,53.98,7.59,1.156,UP
2026-01-15,517900,银行AH优选ETF,1,正常,-12.87,25.81,-1.84,1.462,DOWN
2026-01-15,512680,军工ETF龙头,1,🚩假摔陷阱,-10.31,58.28,8.34,1.548,UP
2026-01-15,159735,港股消费ETF,1,🚩假摔陷阱,-11.62,55.26,0.22,0.806,UP
2026-01-15,159822,新经济ETF,1,🚩假摔陷阱,-12.12,55.81,2.17,0.747,UP
2026-01-15,515290,银行ETF天弘,3,正常,-12.08,17.39,-2.66,1.427,DOWN
2026-01-15,513780,港股创新药50ETF,1,🚩假摔陷阱,-12.69,75.89,6.89,1.761,UP
2026-01-15,513580,恒生科技ETF指数,1,🚩假摔陷阱,-11.64,68.29,3.02,0.767,UP
2026-01-15,513040,港股通互联网ETF,1,🚩假摔陷阱,-13.18,72.97,5.63,1.515,UP
2026-01-15,159329,沙特ETF,1,🚩假摔陷阱,-30.08,52.78,1.48,0.939,UP
2026-01-15,512290,生物医药ETF,1,🚩假摔陷阱,-11.64,61.54,3.45,1.078,UP
2026-01-15,588700,科创医药ETF嘉实,1,🚩假摔陷阱,-10.8,57.83,4.25,1.148,UP
2026-01-15,520600,港股汽车ETF,1,🚩假摔陷阱,-11.09,60.0,1.77,1.259,UP
2026-01-15,159615,恒生生物科技ETF,1,🚩假摔陷阱,-10.82,80.0,7.41,1.261,UP
2026-01-15,520700,港股创新药ETF基金,1,🚩假摔陷阱,-13.01,77.45,6.91,1.698,UP
2026-01-15,159557,恒生医疗ETF,1,🚩假摔陷阱,-10.95,81.67,7.15,1.692,UP
2026-01-15,515020,银行ETF基金,3,正常,-11.93,19.51,-2.55,1.69,DOWN
2026-01-15,159302,港股高股息ETF,1,🚩假摔陷阱,-10.34,61.11,0.15,1.283,UP
2026-01-15,513700,香港医药ETF,1,🚩假摔陷阱,-10.96,78.43,6.96,0.707,UP
2026-01-15,159741,恒生科技ETF嘉实,1,🚩假摔陷阱,-12.02,60.78,2.86,0.754,UP
2026-01-15,512660,军工ETF,1,🚩假摔陷阱,-10.64,57.11,7.79,1.503,UP
2026-01-15,159742,恒生科技指数ETF,1,🚩假摔陷阱,-12.44,60.0,2.72,0.774,UP
2026-01-15,159718,港股医药ETF,1,🚩假摔陷阱,-11.75,79.1,6.56,0.991,UP
2026-01-15,159607,中概互联网ETF,1,正常,-13.05,47.19,1.09,1.113,DOWN
2026-01-15,159768,房地产ETF,1,🚩假摔陷阱,-14.09,51.28,0.44,0.561,UP
2026-01-15,516820,医疗创新ETF,1,🚩假摔陷阱,-11.03,63.64,2.1,0.379,UP
2026-01-15,159981,能源化工ETF,1,正常,-14.92,31.03,1.03,1.272,DOWN
2026-01-15,513970,恒生消费ETF,1,🚩假摔陷阱,-11.82,63.33,0.78,0.947,UP
2026-01-15,512800,银行ETF,3,正常,-12.25,18.42,-2.67,0.795,DOWN
2026-01-15,501018,南方原油LOF,1,🚩假摔陷阱,-18.04,90.63,5.74,1.181,UP
2026-01-15,159839,生物药ETF,1,🚩假摔陷阱,-10.42,69.23,4.35,0.387,UP
2026-01-15,513260,恒生科技ETF基金,1,🚩假摔陷阱,-12.31,61.46,2.89,1.467,UP
2026-01-15,508027,东吴苏园产业REIT,1,🚩假摔陷阱,-20.41,70.87,3.11,2.976,UP
2026-01-15,159622,创新药ETF沪港深,1,🚩假摔陷阱,-10.47,70.77,5.28,1.171,UP
2026-01-15,159518,标普油气ETF,1,🚩假摔陷阱,-23.13,77.5,1.84,0.914,UP
2026-01-15,513320,恒生新经济ETF,1,🚩假摔陷阱,-12.74,75.0,3.72,1.383,UP
2026-01-15,513050,中概互联网ETF,1,🚩假摔陷阱,-12.31,57.25,2.31,1.539,UP
2026-01-15,588860,科创医药ETF,1,🚩假摔陷阱,-10.53,56.34,4.43,0.765,UP
2026-01-15,159750,港股科技50ETF,1,🚩假摔陷阱,-12.66,71.21,4.05,1.083,UP
2026-01-15,513530,港股通红利ETF,1,🚩假摔陷阱,-10.36,55.88,-0.43,1.609,UP
2026-01-15,508096,中航京能光伏REIT,1,正常,-18.12,36.27,-0.06,10.16,DOWN
2026-01-15,513380,恒生科技ETF龙头,1,🚩假摔陷阱,-12.34,60.0,2.87,0.696,UP
2026-01-15,512010,医药ETF,1,🚩假摔陷阱,-11.4,68.42,3.07,0.404,UP
2026-01-15,513130,恒生科技ETF,1,🚩假摔陷阱,-12.33,60.47,2.84,0.754,UP
2026-01-15,515950,医药龙头ETF,1,🚩假摔陷阱,-10.41,66.67,2.8,0.981,UP
2026-01-15,508077,华夏基金华润有巢REIT,1,正常,-24.41,3.57,-0.5,2.892,DOWN
2026-01-15,513150,港股通科技ETF华泰柏瑞,1,🚩假摔陷阱,-13.89,72.15,4.05,1.203,UP
2026-01-15,508068,华夏北京保障房REIT,1,正常,-10.18,13.33,-1.05,4.023,DOWN
2026-01-15,159892,恒生医药ETF,1,🚩假摔陷阱,-10.02,77.59,7.57,0.88,UP
2026-01-15,159859,生物医药ETF,1,🚩假摔陷阱,-10.15,73.91,4.42,0.416,UP
